"","CLUSTERID1","CLUSTERID2","DeltaMZ","MEH","Cosine","OtherScore","ComponentIndex"
"268","8168","8807",-26.003,0,0.770687,0.501814,1
"269","6371","12599",-590.176,0,0.647244,0.418323,1
"270","3697","4818",-29.971,0,0.789702,0.496327,1
"271","8168","12094",-296.939,0,0.751199,0.486865,1
"272","5756","7108",-24.701,0,0.808889,0.665227,1
"273","3942","11402",-314.308,0,0.751652,0.569626,1
"274","3697","7605",-101.062,0,0.692508,0.534181,1
"275","2378","5756",-120.066,0,0.729127,0.566486,1
"276","9343","9380",-3.01801,0,0.906866,0.706595,1
"277","5469","10064",-144.1,0,0.845447,0.585959,1
"278","9409","11992",-232.005,0,0.765185,0.617071,1
"279","5756","9343",-94.96,0,0.60515,0.447639,1
"280","8399","10064",-73.98,0,0.773121,0.475932,1
"281","3110","8337",-143.062,0,0.803494,0.57039,1
"282","7722","12412",-416.067,0,0.640382,0.429924,1
"283","8998","9057",-2.01501,0,0.875221,0.621741,1
"284","8849","11142",-142.099,0,0.654442,0.459676,1
"285","3699","11534",-341.084,0,0.713865,0.538648,1
"286","7167","12378",-412.13,0,0.77697,0.53204,1
"287","3688","9380",-162.055,0,0.866857,0.740919,1
"288","11133","12378",-220.966,0,0.611238,0.410886,1
"289","1194","3782",-85.968,0,0.782391,0.539098,1
"290","368","8633",-568.169,0,0.777482,0.544601,1
"291","2780","11495",-381.055,0,0.633698,0.458506,1
"292","4310","9343",-142.079,0,0.618893,0.412054,1
"293","3796","5469",-49.919,0,0.780569,0.559139,1
"294","2780","9336",-198.069,0,0.681712,0.485403,1
"295","10176","11992",-186.011,0,0.727213,0.510976,1
"296","8359","9784",-58.951,0,0.608769,0.550183,1
"297","11534","12314",-140.127,0,0.740369,0.558703,1
"298","4310","6371",-58.061,0,0.793524,0.611666,1
"299","2342","8337",-180.113,0,0.819528,0.639941,1
"300","3942","9057",-140.235,0,0.671596,0.475834,1
"301","8218","11402",-208.006,0,0.718196,0.47784,1
"302","2356","8807",-198.074,0,0.839035,0.604627,1
"303","2356","4818",-88.996,0,0.689763,0.409909,1
"304","8218","9409",-45.953,0,0.656499,0.472339,1
"305","2378","6135",-126.914,0,0.848797,0.639257,1
